======================================================================
Logging started at 2025-11-04 11:22:50
Log file   : logs/output_q2.txt
Using device: cuda
======================================================================
Starting Deep SARSA training for LunarLander-v3 (one update per step)
Iter 2130 | Eval mean = 237.44 | Max reward = 293.43 | Min reward = 67.24 | eps = 0.345
Iter 2140 | Eval mean = 218.31 | Max reward = 271.40 | Min reward = 6.30 | eps = 0.343
Iter 2150 | Eval mean = 169.08 | Max reward = 249.32 | Min reward = 116.21 | eps = 0.341
Iter 2160 | Eval mean = 221.58 | Max reward = 278.09 | Min reward = -19.99 | eps = 0.340
Iter 2170 | Eval mean = 90.80 | Max reward = 255.81 | Min reward = -481.02 | eps = 0.338
Iter 2180 | Eval mean = 187.54 | Max reward = 269.67 | Min reward = -19.07 | eps = 0.336
Iter 2190 | Eval mean = 219.00 | Max reward = 291.11 | Min reward = -90.47 | eps = 0.334
Iter 2200 | Eval mean = 193.46 | Max reward = 277.53 | Min reward = -36.55 | eps = 0.333
Iter 2210 | Eval mean = 170.81 | Max reward = 255.49 | Min reward = -216.64 | eps = 0.331
Iter 2220 | Eval mean = -0.09 | Max reward = 179.43 | Min reward = -125.42 | eps = 0.329
Iter 2230 | Eval mean = 199.63 | Max reward = 245.38 | Min reward = 164.04 | eps = 0.328
Iter 2240 | Eval mean = 217.47 | Max reward = 278.43 | Min reward = 117.76 | eps = 0.326
Iter 2250 | Eval mean = 116.01 | Max reward = 162.77 | Min reward = 51.12 | eps = 0.325
Iter 2260 | Eval mean = 166.99 | Max reward = 289.81 | Min reward = -192.55 | eps = 0.323
Iter 2270 | Eval mean = 237.05 | Max reward = 278.72 | Min reward = 165.65 | eps = 0.321
Iter 2280 | Eval mean = 116.18 | Max reward = 178.02 | Min reward = -16.83 | eps = 0.320
Iter 2290 | Eval mean = 158.35 | Max reward = 243.84 | Min reward = -106.24 | eps = 0.318
Iter 2300 | Eval mean = 180.99 | Max reward = 254.64 | Min reward = -99.52 | eps = 0.317
Iter 2310 | Eval mean = 129.52 | Max reward = 255.80 | Min reward = -239.84 | eps = 0.315
Iter 2320 | Eval mean = 171.41 | Max reward = 246.56 | Min reward = 3.74 | eps = 0.313
Iter 2330 | Eval mean = 183.18 | Max reward = 251.53 | Min reward = -5.83 | eps = 0.312
Iter 2340 | Eval mean = 125.74 | Max reward = 251.38 | Min reward = -107.21 | eps = 0.310
Iter 2350 | Eval mean = 124.59 | Max reward = 228.00 | Min reward = -106.67 | eps = 0.309
Iter 2360 | Eval mean = 71.50 | Max reward = 258.30 | Min reward = -169.06 | eps = 0.307
Iter 2370 | Eval mean = 146.26 | Max reward = 244.25 | Min reward = -118.83 | eps = 0.306
Iter 2380 | Eval mean = 56.84 | Max reward = 249.91 | Min reward = -157.59 | eps = 0.304
Iter 2390 | Eval mean = 150.44 | Max reward = 268.96 | Min reward = -116.27 | eps = 0.303
Iter 2400 | Eval mean = 141.69 | Max reward = 258.11 | Min reward = -109.39 | eps = 0.301
Iter 2410 | Eval mean = 162.97 | Max reward = 258.19 | Min reward = -109.69 | eps = 0.300
Iter 2420 | Eval mean = 222.84 | Max reward = 268.88 | Min reward = 71.81 | eps = 0.298
Iter 2430 | Eval mean = 256.87 | Max reward = 299.08 | Min reward = 229.88 | eps = 0.297
New best model saved (mean 256.87) at iter 2430
Iter 2440 | Eval mean = 194.03 | Max reward = 262.55 | Min reward = 20.07 | eps = 0.295
Iter 2450 | Eval mean = 221.67 | Max reward = 280.68 | Min reward = -85.35 | eps = 0.294
Iter 2460 | Eval mean = 234.12 | Max reward = 278.65 | Min reward = 156.36 | eps = 0.292
Iter 2470 | Eval mean = 180.68 | Max reward = 296.14 | Min reward = 9.92 | eps = 0.291
Iter 2480 | Eval mean = 217.05 | Max reward = 302.57 | Min reward = -55.60 | eps = 0.289
Iter 2490 | Eval mean = 260.33 | Max reward = 286.61 | Min reward = 241.94 | eps = 0.288
New best model saved (mean 260.33) at iter 2490
Iter 2500 | Eval mean = 216.13 | Max reward = 300.87 | Min reward = 124.94 | eps = 0.286
--> Iter 2500/7000 | AvgReward(last 500): 56.90 | AvgLoss: 34.100727 | Eps: 0.286 | ReplayLen: 100000
Iter 2510 | Eval mean = 168.01 | Max reward = 295.67 | Min reward = -144.19 | eps = 0.285
Iter 2520 | Eval mean = 152.31 | Max reward = 279.36 | Min reward = -152.16 | eps = 0.284
Iter 2530 | Eval mean = 75.25 | Max reward = 251.70 | Min reward = -162.24 | eps = 0.282
